YEAR,coefficient,cashmaximum,avgcoach,minplayer,superstar,star,good,aboveavg,avg,belowavg,fair,poor,media,NPBAvgAttend,SuggTicket
2003,1.00,3550000,122000,61000,1125000,681000,412000,275000,169700,101820,61000,54900,428000,28172,12.20
2004,1.00,3600000,124000,62000,1150000,696000,421000,281000,173400,104040,62000,55800,436000,30078,12.40
2005,1.00,3650000,126000,63000,1175000,711000,430000,287000,177100,106260,63000,56700,444000,23545,12.60
2006,1.01,3750000,130000,65000,1210000,733000,444000,296000,182700,109620,65000,58500,458000,24118,13.00
2007,1.01,3850000,134000,67000,1245000,754000,456000,304000,187600,112560,67000,60300,472000,24522,13.40
2008,1.01,3950000,138000,69000,1280000,775000,469000,313000,193100,115860,69000,62100,486000,25040,13.80
2009,1.00,3950000,138000,69000,1280000,775000,469000,313000,193100,115860,69000,62100,486000,25925,13.80
2010,1.00,4000000,140000,70000,1300000,787000,476000,318000,196200,117720,70000,63000,494000,25626,14.00
2011,1.00,4000000,140000,70000,1300000,787000,476000,318000,196200,117720,70000,63000,494000,24965,14.00
2012,1.00,4050000,142000,71000,1320000,799000,484000,323000,199300,119580,71000,63900,501000,24734,14.20
2013,1.01,4150000,146000,73000,1360000,823000,498000,332000,204900,122940,73000,65700,516000,25517,14.60
2014,1.01,4250000,150000,75000,1400000,847000,513000,342000,211100,126660,75000,67500,531000,26457,15.00
2015,1.01,4400000,156000,78000,1460000,884000,535000,357000,220200,132120,78000,70200,553000,28250,15.60
2016,1.01,4550000,162000,81000,1520000,920000,557000,372000,229500,137700,81000,72900,575000,29113,16.20
2017,1.01,4700000,168000,84000,1580000,956000,579000,386000,238200,142920,84000,75600,597000,29300,16.80
2018,1.01,4850000,174000,87000,1640000,993000,601000,401000,247400,148440,87000,78300,619000,29779,17.40
2019,1.01,5000000,180000,90000,1700000,1029000,623000,416000,256600,153960,90000,81000,641000,30945,18.00
2020,1.00,5000000,180000,90000,1700000,1029000,623000,416000,256600,153960,90000,81000,641000,7805,18.00
2021,1.00,5050000,182000,91000,1720000,1041000,630000,420000,259200,155520,91000,81900,648000,9608,18.20
2022,1.01,5150000,186000,93000,1760000,1065000,645000,430000,265300,159180,93000,83700,662000,24558,18.60
2023,1.01,5300000,192000,96000,1820000,1102000,667000,445000,274500,164700,96000,86400,684000,29219,19.20
2024,1.02,5500000,200000,100000,1900000,1150000,696000,464000,286300,171780,100000,90000,714000,31097,20.00
2025,1.02,5700000,208000,104000,1980000,1198000,725000,484000,298600,179160,104000,93600,744000,31515,20.80
