YEAR,Contact,Gap Power,HR Power,Eye,Avoid K,Stuff,Movement,Control,Speed,Fielding
1960,0.945,0.986,0.741,0.775,1.269,0.776,1.285,1.134,1.178,0.993
1961,0.957,0.992,0.732,0.803,1.307,0.755,1.285,1.114,1.022,0.993
1962,0.951,0.935,0.739,0.748,1.28,0.77,1.29,1.143,1.008,0.993
1963,0.965,0.89,0.932,0.823,1.53,0.644,1.203,1.105,1.037,0.993
1964,0.978,0.908,0.942,0.825,1.563,0.633,1.177,1.087,1.101,0.993
1965,0.94,0.852,0.888,0.782,1.464,0.669,1.281,1.143,0.992,0.993
1966,0.94,0.878,0.89,0.743,1.48,0.663,1.29,1.154,0.93,0.993
1967,0.965,0.878,0.991,0.754,1.361,0.726,1.203,1.124,0.947,0.993
1968,0.957,0.875,1.115,0.843,1.3,0.759,1.148,1.096,1.052,0.993
1969,0.955,0.825,1.131,0.776,1.341,0.737,1.173,1.124,1.004,0.993
1970,0.948,0.828,1.099,0.824,1.331,0.735,1.155,1.124,1.11,0.993
1971,0.956,0.8,1.143,0.861,1.455,0.674,1.131,1.096,1.212,0.993
1972,0.991,0.876,1.193,0.924,1.511,0.652,1.048,1.044,1.089,0.993
1973,0.973,0.783,1.081,0.926,1.517,0.646,1.141,1.06,1.034,0.993
1974,0.981,0.87,1.142,0.935,1.484,0.663,1.066,1.052,1.116,0.993
1975,1.0,0.826,1.079,0.869,1.63,0.61,1.101,1.044,1.084,0.993
1976,1.03,0.903,1.213,0.841,1.549,0.646,1.023,1.027,0.987,0.993
1977,1.039,0.9,1.299,0.869,1.489,0.675,0.967,1.004,1.105,0.993
1978,1.055,0.918,1.208,0.897,1.561,0.643,0.945,0.981,1.04,0.993
1979,1.059,0.96,1.378,0.896,1.42,0.714,0.904,0.974,1.135,0.993
1980,1.053,0.919,1.503,0.923,1.449,0.698,0.907,0.974,1.083,0.998
1981,1.055,0.952,1.195,0.886,1.524,0.662,0.972,0.989,1.086,0.998
1982,1.014,0.932,1.139,0.913,1.464,0.68,1.031,1.019,1.078,0.998
1983,1.066,0.979,1.343,0.956,1.56,0.647,0.894,0.96,1.23,0.998
1984,1.055,0.982,1.379,1.006,1.493,0.672,0.883,0.96,1.121,0.998
1985,1.074,0.972,1.465,1.073,1.46,0.693,0.834,0.92,1.153,0.998
1986,1.047,0.979,1.339,0.842,1.27,0.793,0.967,1.004,1.12,0.998
1987,1.039,0.939,1.251,0.849,1.276,0.782,0.988,1.012,1.014,0.998
1988,1.02,0.969,1.115,0.938,1.277,0.768,1.037,1.019,0.97,0.998
1989,1.042,1.044,1.191,1.026,1.22,0.807,0.96,0.974,1.093,0.998
1990,1.039,1.057,1.239,1.059,1.142,0.865,0.92,0.96,1.074,0.998
1991,1.019,1.013,1.122,1.05,1.175,0.829,0.983,0.989,1.006,0.998
1992,1.019,1.03,1.073,1.048,1.126,0.882,1.001,0.981,1.025,0.998
1993,1.001,0.984,1.025,1.059,1.075,0.919,1.045,0.996,0.964,0.998
1994,1.049,1.023,1.015,1.055,1.143,0.881,0.948,0.946,0.926,0.998
1995,0.994,0.946,1.041,1.06,1.073,0.923,1.014,0.996,1.023,0.998
1996,1.034,0.978,1.084,1.032,1.116,0.889,0.962,0.967,1.043,0.998
1997,1.036,1.04,1.014,1.064,1.159,0.856,0.97,0.96,1.102,0.998
1998,1.035,1.034,0.98,1.068,1.198,0.832,0.985,0.96,0.961,0.998
1999,1.041,1.052,1.103,1.033,1.164,0.862,0.936,0.96,0.975,0.998
2000,1.039,1.042,1.1,1.049,1.139,0.882,0.902,0.953,0.951,1.0
2001,1.042,1.006,1.226,1.076,1.128,0.88,0.92,0.946,0.945,1.0
2002,1.013,1.038,1.15,0.806,1.038,0.957,1.031,1.052,0.88,1.0
2003,1.079,1.119,1.329,0.909,1.079,0.943,0.851,0.953,0.994,1.0
2004,1.093,1.077,1.364,0.958,1.069,0.963,0.827,0.92,0.893,1.0
2005,1.062,1.034,1.161,0.875,1.076,0.945,0.918,0.974,0.872,1.0
2006,1.038,1.015,0.982,0.832,1.08,0.932,1.028,1.019,0.907,1.0
2007,1.042,1.032,0.966,0.854,1.09,0.921,1.009,1.012,0.946,1.0
2008,1.048,1.083,0.978,0.848,1.096,0.92,0.98,1.004,0.968,1.0
2009,1.032,1.087,1.014,0.894,1.066,0.94,0.99,1.004,1.022,1.0
2010,1.062,1.078,1.054,0.908,1.071,0.946,0.929,0.967,1.027,1.0
2011,0.975,0.896,0.642,0.797,1.063,0.922,1.247,1.105,1.013,1.0
2012,0.98,0.913,0.6,0.866,1.14,0.861,1.272,1.078,0.972,1.0
2013,1.02,0.955,0.871,0.986,1.089,0.916,1.028,0.996,1.015,1.0
2014,1.03,1.037,0.902,0.974,1.056,0.946,1.001,0.989,1.024,1.0
2015,0.998,0.981,0.818,0.96,1.048,0.951,1.097,1.019,1.004,1.0
2016,1.013,0.969,0.893,0.977,1.042,0.962,1.02,0.996,1.022,1.0
2017,0.99,1.01,1.006,0.962,0.986,1.011,1.023,1.019,0.927,1.0
2018,1.014,1.038,1.116,1.014,1.011,0.995,0.938,0.981,1.027,1.0
2019,0.997,0.997,1.125,1.025,0.963,1.04,0.962,0.996,0.984,1.0
2020,0.988,1.004,1.042,1.061,0.958,1.042,0.975,0.989,1.036,1.0
2021,0.972,0.998,0.993,0.974,0.969,1.024,1.057,1.035,0.925,1.0
2022,0.965,0.974,0.881,0.884,0.99,0.998,1.148,1.078,0.94,1.0
2023,0.959,0.954,0.844,0.894,0.997,0.991,1.184,1.078,0.881,1.0
2024,0.96,0.941,0.659,0.839,1.034,0.953,1.268,1.096,0.907,1.0
2025,0.966,0.934,0.733,0.831,1.003,0.992,1.247,1.087,0.973,1.0
