playerID,yearID,stint,teamID,lgID,babip_ab_against,h_hr_actual,MLB pBABIP,career_babip_actual_500_ab_minimum,1yr_babip_actual_100_ab_minimum,3yr_babip_actual_300_ab_minimum,5yr_babip_actual_500_ab_minimum,career_babip_aactual_500_ab_minimum_Relative,1yr_babip_aactual_100_ab_minimum_Relative,3yr_babip_actual_300_ab_minimum_Relative,5yr_babip_actual_500_ab_minimum_Relative,career_babip_actual_1000_ab_minimum,1yr_babip_actual_200_ab_minimum,3yr_babip_actual_600_ab_minimum,5yr_babip_actual_1000_ab_minimum,career_babip_actual_1000_ab_minimum_Relative,1yr_babip_actual_200_ab_minimum_Relative,3yr_babip_actual_600_ab_minimum_Relative,5yr_babip_actual_1000_ab_minimum_Relative,ros_team_id,hist_id,hist_team_id,ros_player_id
abeka02,2011,1,LTM,NL,27,16,0.295,0.295,0.45,0.391,0.295,1.0,1.525,1.325,1.0,0.295,0.45,0.391,0.295,1.0,1.525,1.325,1.0,,,,
abeka02,2012,1,LTM,NL,90,25,0.295,0.295,0.309,0.353,0.295,1.0,1.046,1.195,1.0,0.295,0.309,0.353,0.295,1.0,1.046,1.195,1.0,,,,
abeka02,2013,1,LTM,NL,70,24,0.295,0.295,0.387,0.353,0.295,1.0,1.312,1.197,1.0,0.295,0.387,0.353,0.295,1.0,1.312,1.197,1.0,,,,
abeka02,2014,1,LTM,NL,0,0,0.295,0.295,0.295,0.343,0.295,1.0,1.0,1.162,1.0,0.295,0.295,0.343,0.295,1.0,1.0,1.162,1.0,,,,
abeka02,2015,1,LTM,NL,66,23,0.295,0.295,0.442,0.406,0.295,1.0,1.499,1.376,1.0,0.295,0.442,0.406,0.295,1.0,1.499,1.376,1.0,,,,
abeka02,2016,1,LTM,NL,57,20,0.295,0.295,0.408,0.4,0.295,1.0,1.384,1.356,1.0,0.295,0.408,0.4,0.295,1.0,1.384,1.356,1.0,,,,
abeka02,2017,1,LTM,NL,6,1,0.295,0.295,0.333,0.354,0.295,1.0,1.13,1.201,1.0,0.295,0.333,0.354,0.295,1.0,1.13,1.201,1.0,,,,
abeka02,2018,1,LTM,NL,13,4,0.295,0.295,0.364,0.315,0.295,1.0,1.233,1.067,1.0,0.295,0.364,0.315,0.295,1.0,1.233,1.067,1.0,,,,
abeka02,2019,1,LTM,NL,13,1,0.295,0.295,0.15,0.222,0.295,1.0,0.508,0.752,1.0,0.295,0.15,0.222,0.295,1.0,0.508,0.752,1.0,,,,
abeka03,1960,1,NSL,NL,0,0,0.295,0.242,0.295,0.295,0.295,0.819,1.0,1.0,1.0,0.242,0.295,0.295,0.295,0.819,1.0,1.0,1.0,,,,
abeka03,1961,1,NSL,NL,0,0,0.295,0.242,0.295,0.281,0.295,0.819,1.0,0.952,1.0,0.242,0.295,0.281,0.295,0.819,1.0,0.952,1.0,,,,
abeka03,1962,1,NSL,NL,82,17,0.295,0.242,0.224,0.238,0.295,0.819,0.758,0.807,1.0,0.242,0.224,0.238,0.295,0.819,0.758,0.807,1.0,,,,
abeka03,1963,1,NSL,NL,475,90,0.295,0.242,0.225,0.235,0.192,0.819,0.763,0.796,0.651,0.242,0.225,0.235,0.192,0.819,0.763,0.796,0.651,,,,
abeka03,1964,1,NSL,NL,584,143,0.295,0.242,0.275,0.273,0.219,0.819,0.932,0.924,0.743,0.242,0.275,0.273,0.219,0.819,0.932,0.924,0.743,,,,
abeka03,1965,1,NSL,NL,297,81,0.295,0.242,0.313,0.306,0.23,0.819,1.06,1.037,0.78,0.242,0.313,0.306,0.23,0.819,1.06,1.037,0.78,,,,
abeka03,1966,1,HNT,AL,258,74,0.295,0.242,0.316,0.316,0.239,0.819,1.072,1.071,0.809,0.242,0.316,0.316,0.239,0.819,1.072,1.071,0.809,,,,
abeka03,1967,1,HNT,AL,143,36,0.295,0.242,0.319,0.319,0.241,0.819,1.08,1.08,0.818,0.242,0.319,0.319,0.241,0.819,1.08,1.08,0.818,,,,
abeka03,1968,1,HNT,AL,141,37,0.295,0.242,0.322,0.323,0.261,0.819,1.091,1.096,0.884,0.242,0.322,0.323,0.261,0.819,1.091,1.096,0.884,,,,
abeka03,1969,1,HNT,AL,3,1,0.295,0.242,0.333,0.323,0.272,0.819,1.13,1.096,0.922,0.242,0.333,0.323,0.272,0.819,1.13,1.096,0.922,,,,
abeke02,2003,1,KNB,NL,82,19,0.295,0.261,0.339,0.353,0.295,0.884,1.15,1.195,1.0,0.261,0.339,0.353,0.295,0.884,1.15,1.195,1.0,,,,
abeke02,2004,1,KNB,NL,17,8,0.295,0.261,0.45,0.428,0.295,0.884,1.525,1.45,1.0,0.261,0.45,0.428,0.295,0.884,1.525,1.45,1.0,,,,
abeke02,2005,1,OBF,NL,16,4,0.295,0.261,0.45,0.427,0.295,0.884,1.525,1.446,1.0,0.261,0.45,0.427,0.295,0.884,1.525,1.446,1.0,,,,
abeke02,2006,1,OBF,NL,20,5,0.295,0.261,0.333,0.349,0.295,0.884,1.13,1.183,1.0,0.261,0.333,0.349,0.295,0.884,1.13,1.183,1.0,,,,
abeke02,2007,1,OBF,NL,0,0,0.295,0.261,0.295,0.289,0.295,0.884,1.0,0.98,1.0,0.261,0.295,0.289,0.295,0.884,1.0,0.98,1.0,,,,
abeke02,2008,1,HNT,AL,170,29,0.295,0.261,0.227,0.285,0.295,0.884,0.768,0.966,1.0,0.261,0.227,0.285,0.295,0.884,0.768,0.966,1.0,,,,
abeke02,2009,1,HNT,AL,108,37,0.295,0.261,0.45,0.374,0.295,0.884,1.525,1.269,1.0,0.261,0.45,0.374,0.295,0.884,1.525,1.269,1.0,,,,
abeke02,2010,1,HNT,AL,0,0,0.295,0.261,0.295,0.326,0.295,0.884,1.0,1.105,1.0,0.261,0.295,0.326,0.295,0.884,1.0,1.105,1.0,,,,
abeke02,2011,1,HNT,AL,0,0,0.295,0.261,0.295,0.292,0.295,0.884,1.0,0.991,1.0,0.261,0.295,0.292,0.295,0.884,1.0,0.991,1.0,,,,
abeke02,2012,1,YKS,AL,49,11,0.295,0.261,0.282,0.299,0.295,0.884,0.956,1.015,1.0,0.261,0.282,0.299,0.295,0.884,0.956,1.015,1.0,,,,
abeke02,2013,1,YKS,AL,66,16,0.295,0.261,0.356,0.36,0.295,0.884,1.205,1.219,1.0,0.261,0.356,0.36,0.295,0.884,1.205,1.219,1.0,,,,
abeke02,2014,1,YKS,AL,47,21,0.295,0.261,0.45,0.4,0.295,0.884,1.525,1.356,1.0,0.261,0.45,0.4,0.295,0.884,1.525,1.356,1.0,,,,
abeke02,2015,1,YKS,AL,0,0,0.295,0.261,0.295,0.326,0.295,0.884,1.0,1.105,1.0,0.261,0.295,0.326,0.295,0.884,1.0,1.105,1.0,,,,
abena01,1965,1,TYW,AL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
abena01,1966,1,TYW,AL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
abena01,1967,1,TYW,AL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
abena01,1968,1,TYW,AL,0,0,0.295,0.295,0.295,0.326,0.295,1.0,1.0,1.105,1.0,0.295,0.295,0.326,0.295,1.0,1.0,1.105,1.0,,,,
abena01,1969,1,TYW,AL,4,3,0.295,0.295,0.45,0.388,0.295,1.0,1.525,1.315,1.0,0.295,0.45,0.388,0.295,1.0,1.525,1.315,1.0,,,,
abena01,1970,1,TYW,AL,0,0,0.295,0.295,0.295,0.326,0.295,1.0,1.0,1.105,1.0,0.295,0.295,0.326,0.295,1.0,1.0,1.105,1.0,,,,
abena01,1971,1,YMG,AL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
abena01,1972,1,YMG,AL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
abena01,1973,1,KNB,NL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
abena01,1974,1,KNB,NL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
abena01,1975,1,KNB,NL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
abena01,1976,1,KNB,NL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
abena01,1977,1,KNB,NL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
abena01,1978,1,KNB,NL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
abena01,1979,1,KNB,NL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
abena01,1980,1,KNB,NL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
abena01,1981,1,KNB,NL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
abena02,1952,1,NSL,NL,7,0,0.295,0.295,0.15,0.208,0.295,1.0,0.508,0.705,1.0,0.295,0.15,0.208,0.295,1.0,0.508,0.705,1.0,,,,
abesh01,2021,1,OBF,NL,12,3,0.295,0.295,0.375,0.325,0.295,1.0,1.271,1.102,1.0,0.295,0.375,0.325,0.295,1.0,1.271,1.102,1.0,,,,
abesh01,2022,1,OBF,NL,145,21,0.295,0.295,0.206,0.26,0.295,1.0,0.698,0.882,1.0,0.295,0.206,0.26,0.295,1.0,0.698,0.882,1.0,,,,
abesh01,2023,1,OBF,NL,153,33,0.295,0.295,0.308,0.295,0.295,1.0,1.045,0.999,1.0,0.295,0.308,0.295,0.295,1.0,1.045,0.999,1.0,,,,
abesh01,2024,1,OBF,NL,48,12,0.295,0.295,0.343,0.338,0.295,1.0,1.162,1.146,1.0,0.295,0.343,0.338,0.295,1.0,1.162,1.146,1.0,,,,
abesh01,2025,1,OBF,NL,48,12,0.295,0.295,0.353,0.339,0.295,1.0,1.196,1.15,1.0,0.295,0.353,0.339,0.295,1.0,1.196,1.15,1.0,,,,
abeta01,2013,1,DNB,AL,3,1,0.295,0.295,0.333,0.345,0.295,1.0,1.13,1.169,1.0,0.295,0.333,0.345,0.295,1.0,1.13,1.169,1.0,,,,
abeta01,2014,1,DNB,AL,15,3,0.295,0.295,0.429,0.367,0.295,1.0,1.453,1.245,1.0,0.295,0.429,0.367,0.295,1.0,1.453,1.245,1.0,,,,
abeta01,2015,1,DNB,AL,30,5,0.295,0.295,0.217,0.275,0.295,1.0,0.737,0.933,1.0,0.295,0.217,0.275,0.295,1.0,0.737,0.933,1.0,,,,
abeta01,2016,1,DNB,AL,0,0,0.295,0.295,0.295,0.279,0.295,1.0,1.0,0.947,1.0,0.295,0.295,0.279,0.295,1.0,1.0,0.947,1.0,,,,
abeyu01,1961,1,KNB,NL,3,3,0.295,0.295,0.45,0.409,0.295,1.0,1.525,1.386,1.0,0.295,0.45,0.409,0.295,1.0,1.525,1.386,1.0,,,,
abeyu01,1962,1,KNB,NL,15,6,0.295,0.295,0.4,0.389,0.295,1.0,1.356,1.319,1.0,0.295,0.4,0.389,0.295,1.0,1.356,1.319,1.0,,,,
abeyu01,1963,1,KNB,NL,0,0,0.295,0.295,0.295,0.316,0.295,1.0,1.0,1.071,1.0,0.295,0.295,0.316,0.295,1.0,1.0,1.071,1.0,,,,
abeyu01,1964,1,KNB,NL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
abreual01,2024,1,SBL,NL,161,37,0.295,0.295,0.291,0.293,0.295,1.0,0.988,0.993,1.0,0.295,0.291,0.293,0.295,1.0,0.988,0.993,1.0,,,,
abreuwi01,2008,1,LTM,NL,71,21,0.295,0.295,0.45,0.388,0.295,1.0,1.525,1.315,1.0,0.295,0.45,0.388,0.295,1.0,1.525,1.315,1.0,,,,
achirta01,2014,1,CHD,AL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
achirta01,2015,1,CHD,AL,0,0,0.295,0.295,0.295,0.301,0.295,1.0,1.0,1.019,1.0,0.295,0.295,0.301,0.295,1.0,1.0,1.019,1.0,,,,
achirta01,2016,1,CHD,AL,47,10,0.295,0.295,0.323,0.315,0.295,1.0,1.093,1.068,1.0,0.295,0.323,0.315,0.295,1.0,1.093,1.068,1.0,,,,
achirta01,2017,1,CHD,AL,42,10,0.295,0.295,0.312,0.311,0.295,1.0,1.059,1.054,1.0,0.295,0.312,0.311,0.295,1.0,1.059,1.054,1.0,,,,
achirta01,2018,1,CHD,AL,0,0,0.295,0.295,0.295,0.304,0.295,1.0,1.0,1.032,1.0,0.295,0.295,0.304,0.295,1.0,1.0,1.032,1.0,,,,
achirta01,2019,1,CHD,AL,112,26,0.295,0.295,0.325,0.313,0.295,1.0,1.102,1.061,1.0,0.295,0.325,0.313,0.295,1.0,1.102,1.061,1.0,,,,
achirta01,2020,1,CHD,AL,0,0,0.295,0.295,0.295,0.301,0.295,1.0,1.0,1.02,1.0,0.295,0.295,0.301,0.295,1.0,1.0,1.02,1.0,,,,
acostma01,2013,1,YMG,AL,42,11,0.295,0.295,0.423,0.372,0.295,1.0,1.434,1.26,1.0,0.295,0.423,0.372,0.295,1.0,1.434,1.26,1.0,,,,
acrema01,1998,1,YKS,AL,228,41,0.295,0.295,0.25,0.268,0.295,1.0,0.847,0.908,1.0,0.295,0.25,0.268,0.295,1.0,0.847,0.908,1.0,,,,
acrema01,1999,1,YKS,AL,0,0,0.295,0.295,0.295,0.286,0.295,1.0,1.0,0.969,1.0,0.295,0.295,0.286,0.295,1.0,1.0,0.969,1.0,,,,
adachmi01,1959,1,HKB,NL,368,109,0.295,0.249,0.362,0.337,0.295,0.844,1.228,1.143,1.0,0.249,0.362,0.337,0.295,0.844,1.228,1.143,1.0,,,,
adachmi01,1960,1,HKB,NL,370,95,0.295,0.249,0.304,0.335,0.276,0.844,1.032,1.136,0.937,0.249,0.304,0.335,0.276,0.844,1.032,1.136,0.937,,,,
adachmi01,1961,1,HKB,NL,204,64,0.295,0.249,0.4,0.356,0.285,0.844,1.356,1.206,0.964,0.249,0.4,0.356,0.285,0.844,1.356,1.206,0.964,,,,
adachmi01,1962,1,HKB,NL,408,84,0.295,0.249,0.275,0.308,0.261,0.844,0.931,1.043,0.884,0.249,0.275,0.308,0.261,0.844,0.931,1.043,0.884,,,,
adachmi01,1963,1,HKB,NL,662,163,0.295,0.249,0.315,0.3,0.256,0.844,1.069,1.016,0.868,0.249,0.315,0.3,0.256,0.844,1.069,1.016,0.868,,,,
adachmi01,1964,1,HKB,NL,778,174,0.295,0.249,0.278,0.289,0.239,0.844,0.941,0.979,0.812,0.249,0.278,0.289,0.239,0.844,0.941,0.979,0.812,,,,
adachmi01,1965,1,HKB,NL,564,132,0.295,0.249,0.296,0.294,0.236,0.844,1.003,0.997,0.8,0.249,0.296,0.294,0.236,0.844,1.003,0.997,0.8,,,,
adachmi01,1966,1,HKB,NL,892,216,0.295,0.249,0.306,0.291,0.233,0.844,1.036,0.985,0.789,0.249,0.306,0.291,0.233,0.844,1.036,0.985,0.789,,,,
adachmi01,1967,1,HKB,NL,884,178,0.295,0.249,0.24,0.254,0.228,0.844,0.814,0.861,0.774,0.249,0.24,0.254,0.228,0.844,0.814,0.861,0.774,,,,
adachmi01,1968,1,HKB,NL,59,11,0.295,0.249,0.244,0.275,0.224,0.844,0.829,0.932,0.759,0.249,0.244,0.275,0.224,0.844,0.829,0.932,0.759,,,,
adachmi01,1969,1,HKB,NL,199,63,0.295,0.249,0.401,0.354,0.231,0.844,1.36,1.199,0.783,0.249,0.401,0.354,0.231,0.844,1.36,1.199,0.783,,,,
adachmi01,1970,1,HKB,NL,386,101,0.295,0.249,0.32,0.323,0.235,0.844,1.083,1.096,0.797,0.249,0.32,0.323,0.235,0.844,1.083,1.096,0.797,,,,
adachmi01,1971,1,HKB,NL,833,179,0.295,0.249,0.257,0.273,0.225,0.844,0.872,0.924,0.764,0.249,0.257,0.273,0.225,0.844,0.872,0.924,0.764,,,,
adachmi01,1972,1,HKB,NL,644,149,0.295,0.249,0.272,0.284,0.237,0.844,0.922,0.964,0.804,0.249,0.272,0.284,0.237,0.844,0.922,0.964,0.804,,,,
adachmi01,1973,1,HKB,NL,339,97,0.295,0.249,0.349,0.328,0.245,0.844,1.183,1.113,0.832,0.249,0.349,0.328,0.245,0.844,1.183,1.113,0.832,,,,
adachmi01,1974,1,HKB,NL,596,166,0.295,0.249,0.324,0.324,0.247,0.844,1.097,1.097,0.838,0.249,0.324,0.324,0.247,0.844,1.097,1.097,0.838,,,,
adachmi01,1975,1,HKB,NL,632,165,0.295,0.249,0.298,0.305,0.248,0.844,1.01,1.033,0.842,0.249,0.298,0.305,0.248,0.844,1.01,1.033,0.842,,,,
adachmi01,1976,1,HKB,NL,701,189,0.295,0.249,0.307,0.309,0.263,0.844,1.04,1.047,0.892,0.249,0.307,0.309,0.263,0.844,1.04,1.047,0.892,,,,
adachmi01,1977,1,HKB,NL,376,107,0.295,0.249,0.326,0.329,0.274,0.844,1.106,1.114,0.928,0.249,0.326,0.329,0.274,0.844,1.106,1.114,0.928,,,,
adachmi01,1978,1,HKB,NL,282,88,0.295,0.249,0.358,0.356,0.276,0.844,1.213,1.207,0.937,0.249,0.358,0.356,0.276,0.844,1.213,1.207,0.937,,,,
adachmi01,1979,1,HKB,NL,53,16,0.295,0.249,0.381,0.359,0.276,0.844,1.291,1.217,0.937,0.249,0.381,0.359,0.276,0.844,1.291,1.217,0.937,,,,
adachmi01,1980,1,HKB,NL,0,0,0.295,0.249,0.295,0.312,0.283,0.844,1.0,1.058,0.96,0.249,0.295,0.312,0.283,0.844,1.0,1.058,0.96,,,,
adachwa01,1986,1,HRC,AL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
adachwa01,1987,1,HRC,AL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
adachwa01,1988,1,HRC,AL,0,0,0.295,0.295,0.295,0.29,0.295,1.0,1.0,0.983,1.0,0.295,0.295,0.29,0.295,1.0,1.0,0.983,1.0,,,,
adachwa01,1989,1,HRC,AL,36,7,0.295,0.295,0.269,0.251,0.295,1.0,0.913,0.849,1.0,0.295,0.269,0.251,0.295,1.0,0.913,0.849,1.0,,,,
adachwa01,1990,1,HRC,AL,9,1,0.295,0.295,0.15,0.204,0.295,1.0,0.508,0.692,1.0,0.295,0.15,0.204,0.295,1.0,0.508,0.692,1.0,,,,
adachwa01,1991,1,HRC,AL,298,62,0.295,0.295,0.301,0.274,0.295,1.0,1.02,0.929,1.0,0.295,0.301,0.274,0.295,1.0,1.02,0.929,1.0,,,,
adachwa01,1992,1,HRC,AL,53,13,0.295,0.295,0.317,0.309,0.295,1.0,1.075,1.049,1.0,0.295,0.317,0.309,0.295,1.0,1.075,1.049,1.0,,,,
adachwa01,1993,1,HRC,AL,0,0,0.295,0.295,0.295,0.329,0.295,1.0,1.0,1.116,1.0,0.295,0.295,0.329,0.295,1.0,1.0,1.116,1.0,,,,
adachwa01,1994,1,NPH,NL,33,12,0.295,0.295,0.444,0.385,0.295,1.0,1.507,1.304,1.0,0.295,0.444,0.385,0.295,1.0,1.507,1.304,1.0,,,,
aduwama01,2017,1,HRC,AL,0,0,0.295,0.279,0.295,0.298,0.295,0.944,1.0,1.009,1.0,0.279,0.295,0.298,0.295,0.944,1.0,1.009,1.0,,,,
aduwama01,2018,1,HRC,AL,222,58,0.295,0.279,0.309,0.318,0.295,0.944,1.046,1.077,1.0,0.279,0.309,0.318,0.295,0.944,1.046,1.077,1.0,,,,
aduwama01,2019,1,HRC,AL,302,87,0.295,0.279,0.369,0.342,0.277,0.944,1.25,1.159,0.938,0.279,0.369,0.342,0.277,0.944,1.25,1.159,0.938,,,,
aduwama01,2020,1,HRC,AL,0,0,0.295,0.279,0.295,0.31,0.277,0.944,1.0,1.05,0.938,0.279,0.295,0.31,0.277,0.944,1.0,1.05,0.938,,,,
aduwama01,2021,1,HRC,AL,0,0,0.295,0.279,0.295,0.295,0.277,0.944,1.0,1.0,0.938,0.279,0.295,0.295,0.277,0.944,1.0,1.0,0.938,,,,
aduwama01,2022,1,HRC,AL,0,0,0.295,0.279,0.295,0.304,0.277,0.944,1.0,1.032,0.938,0.279,0.295,0.304,0.277,0.944,1.0,1.032,0.938,,,,
aduwama01,2023,1,HRC,AL,55,14,0.295,0.279,0.341,0.33,0.295,0.944,1.158,1.12,1.0,0.279,0.341,0.33,0.295,0.944,1.158,1.12,1.0,,,,
aduwama01,2024,1,HRC,AL,350,93,0.295,0.279,0.332,0.358,0.295,0.944,1.126,1.212,1.0,0.279,0.332,0.358,0.295,0.944,1.126,1.212,1.0,,,,
aduwama01,2025,1,HRC,AL,62,24,0.295,0.279,0.45,0.395,0.295,0.944,1.525,1.34,1.0,0.279,0.45,0.395,0.295,0.944,1.525,1.34,1.0,,,,
aidate01,1971,1,YKA,AL,457,98,0.295,0.275,0.263,0.281,0.295,0.933,0.893,0.953,1.0,0.275,0.263,0.281,0.295,0.933,0.893,0.953,1.0,,,,
aidate01,1972,1,YKA,AL,100,25,0.295,0.275,0.321,0.335,0.221,0.933,1.086,1.136,0.749,0.275,0.321,0.335,0.221,0.933,1.086,1.136,0.749,,,,
aidate01,1973,1,YKA,AL,138,53,0.295,0.275,0.45,0.396,0.253,0.933,1.525,1.341,0.858,0.275,0.45,0.396,0.253,0.933,1.525,1.341,0.858,,,,
aidate01,1974,1,YKS,AL,226,57,0.295,0.275,0.308,0.344,0.253,0.933,1.044,1.167,0.858,0.275,0.308,0.344,0.253,0.933,1.044,1.167,0.858,,,,
aidate01,1975,1,YKS,AL,237,61,0.295,0.275,0.347,0.328,0.254,0.933,1.175,1.112,0.861,0.275,0.347,0.328,0.254,0.933,1.175,1.112,0.861,,,,
aidate01,1976,1,YKS,AL,585,136,0.295,0.275,0.292,0.324,0.258,0.933,0.991,1.1,0.875,0.275,0.292,0.324,0.258,0.933,0.991,1.1,0.875,,,,
aidate01,1977,1,YKS,AL,575,179,0.295,0.275,0.398,0.374,0.276,0.933,1.348,1.268,0.936,0.275,0.398,0.374,0.276,0.933,1.348,1.268,0.936,,,,
aidate01,1978,1,YKS,AL,299,96,0.295,0.275,0.384,0.4,0.275,0.933,1.302,1.356,0.933,0.275,0.384,0.4,0.275,0.933,1.302,1.356,0.933,,,,
aidate01,1979,1,YKS,AL,44,18,0.295,0.275,0.45,0.437,0.282,0.933,1.525,1.481,0.955,0.275,0.45,0.437,0.282,0.933,1.525,1.481,0.955,,,,
aidate01,1980,1,YKS,AL,86,33,0.295,0.275,0.45,0.419,0.291,0.933,1.525,1.42,0.986,0.275,0.45,0.419,0.291,0.933,1.525,1.42,0.986,,,,
aidayu01,2006,1,YMG,AL,0,0,0.295,0.295,0.295,0.297,0.295,1.0,1.0,1.008,1.0,0.295,0.295,0.297,0.295,1.0,1.0,1.008,1.0,,,,
