playerID,awardID,yearID,lgID,tie,notes,
otomoko01,Silver Slugger,1953,AL,,P,
yogish01,Silver Slugger,1953,AL,,3B,
yonamka01,Silver Slugger,1953,AL,,OF,
sugissh01,Cy Young Award,1954,AL,,,
oshithi01,MVP,1954,NL,,,
sugissh01,MVP,1954,AL,,,
hiroota02,Rookie of the Year,1954,AL,,,
takuwmo01,Rookie of the Year,1954,NL,,,
hakodju01,Silver Slugger,1954,AL,,2B,
hiroota02,Silver Slugger,1954,AL,,SS,
hirotju01,Silver Slugger,1954,AL,,C,
kawaiko01,Silver Slugger,1954,NL,,1B,
lewisch01,Silver Slugger,1954,NL,,C,
morisno01,Silver Slugger,1954,NL,,2B,
nakanfu01,Silver Slugger,1954,NL,,3B,
nishimi07,Silver Slugger,1954,AL,,1B,
nishisa03,Silver Slugger,1954,NL,,P,
oshithi01,Silver Slugger,1954,NL,,OF,
rainela01,Silver Slugger,1954,NL,,SS,
sekigse01,Silver Slugger,1954,NL,,OF,
sugissh01,Silver Slugger,1954,AL,,P,
sugiysa01,Silver Slugger,1954,AL,,OF,
unomi01,Silver Slugger,1954,AL,,3B,
watanhi09,Silver Slugger,1954,AL,,OF,
yamauka02,Silver Slugger,1954,NL,,OF,
yonamka01,Silver Slugger,1954,AL,,OF,
besshta01,Cy Young Award,1955,AL,,,
iidato01,MVP,1955,NL,,,
kawakte01,MVP,1955,AL,,,
enomoki01,Rookie of the Year,1955,NL,,,
nishika06,Rookie of the Year,1955,AL,,,
besshta01,Silver Slugger,1955,AL,,P,
hirotju01,Silver Slugger,1955,AL,,C,
iidato01,Silver Slugger,1955,NL,,OF,
inoeno01,Silver Slugger,1955,AL,,2B,
kawakte01,Silver Slugger,1955,AL,,1B,
kizukta01,Silver Slugger,1955,NL,,SS,
kodamri01,Silver Slugger,1955,AL,,3B,
lewisch01,Silver Slugger,1955,NL,,C,
machiyu01,Silver Slugger,1955,AL,,OF,
nakamta06,Silver Slugger,1955,NL,,P,
nakanfu01,Silver Slugger,1955,NL,,3B,
okamois01,Silver Slugger,1955,NL,,2B,
sugiyko02,Silver Slugger,1955,NL,,1B,
tokurka01,Silver Slugger,1955,NL,,OF,
watanhi09,Silver Slugger,1955,AL,,OF,
yamauka02,Silver Slugger,1955,NL,,OF,
yonamka01,Silver Slugger,1955,AL,,OF,
yoshiyo03,Silver Slugger,1955,AL,,SS,
kanedma02,Cy Young Award,1956,AL,,,
besshta01,MVP,1956,AL,,,
nakanfu01,MVP,1956,NL,,,
akiyano01,Rookie of the Year,1956,AL,,,
inaoka01,Rookie of the Year,1956,NL,,,
aotano01,Silver Slugger,1956,AL,,OF,
besshta01,Silver Slugger,1956,AL,,P,
enomoki01,Silver Slugger,1956,NL,,1B,
fujiosh01,Silver Slugger,1956,AL,,C,
inoeno01,Silver Slugger,1956,AL,,2B,
kajimta02,Silver Slugger,1956,NL,,P,
kawakte01,Silver Slugger,1956,AL,,1B,
kodamri01,Silver Slugger,1956,AL,,3B,
nakanfu01,Silver Slugger,1956,NL,,3B,
nomurka03,Silver Slugger,1956,NL,,C,
sasaksh03,Silver Slugger,1956,NL,,2B,
sugiyko02,Silver Slugger,1956,NL,,OF,
tamiyke01,Silver Slugger,1956,AL,,OF,
tokurka01,Silver Slugger,1956,NL,,OF,
toyodya01,Silver Slugger,1956,NL,,SS,
yamauka02,Silver Slugger,1956,NL,,OF,
yonamka01,Silver Slugger,1956,AL,,OF,
yoshiyo03,Silver Slugger,1956,AL,,SS,
kanedma02,Cy Young Award,1957,AL,,,
inaoka01,MVP,1957,NL,,,
yonamka01,MVP,1957,AL,,,
fujitmo01,Rookie of the Year,1957,AL,,,
kimurta05,Rookie of the Year,1957,NL,,,
aotano01,Silver Slugger,1957,AL,,OF,
busujsh01,Silver Slugger,1957,NL,,OF,
fujiosh01,Silver Slugger,1957,AL,,C,
inaoka01,Silver Slugger,1957,NL,,P,
inoeno01,Silver Slugger,1957,AL,,2B,
kanedma02,Silver Slugger,1957,AL,,P,
kawakte01,Silver Slugger,1957,AL,,1B,
miyakno02,Silver Slugger,1957,AL,,3B,
nakanfu01,Silver Slugger,1957,NL,,3B,
nomurka03,Silver Slugger,1957,NL,,C,
okamois01,Silver Slugger,1957,NL,,2B,
okamoke04,Silver Slugger,1957,NL,,1B,
oshithi01,Silver Slugger,1957,NL,,OF,
tamiyke01,Silver Slugger,1957,AL,,OF,
toyodya01,Silver Slugger,1957,NL,,SS,
yamauka02,Silver Slugger,1957,NL,,OF,
yonamka01,Silver Slugger,1957,AL,,OF,
yoshiyo03,Silver Slugger,1957,AL,,SS,
kanedma02,Cy Young Award,1958,AL,,,
fujitmo01,MVP,1958,AL,,,
inaoka01,MVP,1958,NL,,,
nagassh02,Rookie of the Year,1958,AL,,,
sugiuta01,Rookie of the Year,1958,NL,,,
barboch01,Silver Slugger,1958,NL,,2B,
busujsh01,Silver Slugger,1958,NL,,OF,
fujiosh01,Silver Slugger,1958,AL,,C,
inaoka01,Silver Slugger,1958,NL,,P,
inoeno01,Silver Slugger,1958,AL,,2B,
kanedma02,Silver Slugger,1958,AL,,P,
katsuta01,Silver Slugger,1958,NL,,SS,
kawakte01,Silver Slugger,1958,AL,,1B,
morito02,Silver Slugger,1958,AL,,OF,
nagassh02,Silver Slugger,1958,AL,,3B,
nakanfu01,Silver Slugger,1958,NL,,3B,
nomurka03,Silver Slugger,1958,NL,,C,
sekigse01,Silver Slugger,1958,NL,,OF,
sugiyko02,Silver Slugger,1958,NL,,OF,
sutanha01,Silver Slugger,1958,NL,,1B,
tamiyke01,Silver Slugger,1958,AL,,OF,
yonamka01,Silver Slugger,1958,AL,,OF,
yoshiyo03,Silver Slugger,1958,AL,,SS,
muraymi01,Cy Young Award,1959,AL,,,
fujitmo01,MVP,1959,AL,,,
sugiuta01,MVP,1959,NL,,,
harimis01,Rookie of the Year,1959,NL,,,
kuwatta01,Rookie of the Year,1959,AL,,,
enomoki01,Silver Slugger,1959,NL,,1B,
fujimka02,Silver Slugger,1959,AL,,1B,
fujiosh01,Silver Slugger,1959,AL,,OF,
fujitmo01,Silver Slugger,1959,AL,,P,
katsuta01,Silver Slugger,1959,NL,,3B,
morito02,Silver Slugger,1959,AL,,OF,
nagassh02,Silver Slugger,1959,AL,,3B,
nomurka03,Silver Slugger,1959,NL,,C,
okamois01,Silver Slugger,1959,NL,,2B,
owadaak01,Silver Slugger,1959,AL,,OF,
sakazka01,Silver Slugger,1959,AL,,OF,
sugiuta01,Silver Slugger,1959,NL,,P,
sugiyko02,Silver Slugger,1959,NL,,OF,
takakte01,Silver Slugger,1959,NL,,OF,
toyodya01,Silver Slugger,1959,NL,,SS,
tsuchma03,Silver Slugger,1959,AL,,2B,
yamauka02,Silver Slugger,1959,NL,,OF,
yoshiyo03,Silver Slugger,1959,AL,,SS,
horimri01,Cy Young Award,1960,AL,,,
akiyano01,MVP,1960,AL,,,
yamauka02,MVP,1960,NL,,,
horimri01,Rookie of the Year,1960,AL,,,
akiyano01,Silver Slugger,1960,AL,,P,
doiki01,Silver Slugger,1960,AL,,C,
enomoki01,Silver Slugger,1960,NL,,1B,
harimis01,Silver Slugger,1960,NL,,OF,
inoeno01,Silver Slugger,1960,AL,,2B,
kodamak01,Silver Slugger,1960,NL,,3B,
kondoka02,Silver Slugger,1960,AL,,1B,
morito02,Silver Slugger,1960,AL,,OF,
nagassh02,Silver Slugger,1960,AL,,3B,
nakato01,Silver Slugger,1960,AL,,OF,
namikte01,Silver Slugger,1960,AL,,OF,
nomurka03,Silver Slugger,1960,NL,,C,
ogiak01,Silver Slugger,1960,NL,,2B,
onosh02,Silver Slugger,1960,NL,,P,
tamiyke01,Silver Slugger,1960,NL,,OF,
toyodya01,Silver Slugger,1960,NL,,SS,
yamauka02,Silver Slugger,1960,NL,,OF,
yoshiyo03,Silver Slugger,1960,AL,,SS,
gondohi01,Cy Young Award,1961,AL,,,
nagassh02,MVP,1961,AL,,,
nomurka03,MVP,1961,NL,,,
gondohi01,Rookie of the Year,1961,AL,,,
tokuhto01,Rookie of the Year,1961,NL,,,
enomoki01,Silver Slugger,1961,NL,,1B,
etosh02,Silver Slugger,1961,AL,,OF,
fujimka02,Silver Slugger,1961,AL,,1B,
gondohi01,Silver Slugger,1961,AL,,P,
harimis01,Silver Slugger,1961,NL,,OF,
inaoka01,Silver Slugger,1961,NL,,P,
kondoka02,Silver Slugger,1961,AL,,OF,
konoak01,Silver Slugger,1961,AL,,SS,
morima01,Silver Slugger,1961,AL,,C,
morinka01,Silver Slugger,1961,AL,,OF,
morisno01,Silver Slugger,1961,NL,,2B,
nagassh02,Silver Slugger,1961,AL,,3B,
nakanfu01,Silver Slugger,1961,NL,,1B,
nomurka03,Silver Slugger,1961,NL,,C,
tamiyke01,Silver Slugger,1961,NL,,OF,
toyodya01,Silver Slugger,1961,NL,,SS,
tsuchma03,Silver Slugger,1961,AL,,2B,
yamauka02,Silver Slugger,1961,NL,,OF,
koyamma02,Cy Young Award,1962,AL,,,
harimis01,MVP,1962,NL,,,
muraymi01,MVP,1962,AL,,,
jonocku01,Rookie of the Year,1962,AL,,,
ozakiyu01,Rookie of the Year,1962,NL,,,
bloomja01,Silver Slugger,1962,NL,,2B,
enomoki01,Silver Slugger,1962,NL,,1B,
harimis01,Silver Slugger,1962,NL,,OF,
inaoka01,Silver Slugger,1962,NL,,P,
kodamak01,Silver Slugger,1962,NL,,3B,
kondoka02,Silver Slugger,1962,AL,,OF,
kosakyo01,Silver Slugger,1962,AL,,2B,
morima01,Silver Slugger,1962,AL,,C,
morinka01,Silver Slugger,1962,AL,,OF,
muraymi01,Silver Slugger,1962,AL,,P,
nagassh02,Silver Slugger,1962,AL,,3B,
namikte01,Silver Slugger,1962,AL,,OF,
nomurka03,Silver Slugger,1962,NL,,C,
ohsa01,Silver Slugger,1962,AL,,1B,
toyodya01,Silver Slugger,1962,NL,,SS,
yamauka02,Silver Slugger,1962,NL,,OF,
yoshika08,Silver Slugger,1962,NL,,OF,
yoshiyo03,Silver Slugger,1962,AL,,SS,
itoyo02,Cy Young Award,1963,AL,,,
nagassh02,MVP,1963,AL,,,
nomurka03,MVP,1963,NL,,,
bloomja01,Silver Slugger,1963,NL,,1B,
enomoki01,Silver Slugger,1963,NL,,1B,
etosh02,Silver Slugger,1963,AL,,OF,
fujiiei01,Silver Slugger,1963,AL,,OF,
harimis01,Silver Slugger,1963,NL,,OF,
hirosyo02,Silver Slugger,1963,NL,,OF,
inaoka01,Silver Slugger,1963,NL,,P,
kanedma02,Silver Slugger,1963,AL,,P,
kobata01,Silver Slugger,1963,AL,,SS,
kodamak01,Silver Slugger,1963,NL,,3B,
koikeke01,Silver Slugger,1963,NL,,SS,
kondoka02,Silver Slugger,1963,AL,,OF,
morima01,Silver Slugger,1963,AL,,C,
nagassh02,Silver Slugger,1963,AL,,3B,
nomurka03,Silver Slugger,1963,NL,,C,
ohsa01,Silver Slugger,1963,AL,,1B,
takagmo01,Silver Slugger,1963,AL,,2B,
yamauka02,Silver Slugger,1963,NL,,OF,
bacquge01,Cy Young Award,1964,AL,,,
ohsa01,MVP,1964,AL,,,
stankjo01,MVP,1964,NL,,,
takahsh04,Rookie of the Year,1964,AL,,,
bacquge01,Silver Slugger,1964,AL,,P,
enomoki01,Silver Slugger,1964,NL,,1B,
etosh02,Silver Slugger,1964,AL,,OF,
harimis01,Silver Slugger,1964,NL,,OF,
hirosyo02,Silver Slugger,1964,NL,,OF,
kodamak01,Silver Slugger,1964,NL,,3B,
koikeke01,Silver Slugger,1964,NL,,SS,
kondoka02,Silver Slugger,1964,AL,,1B,
morima01,Silver Slugger,1964,AL,,C,
nagassh02,Silver Slugger,1964,AL,,3B,
nomurka03,Silver Slugger,1964,NL,,C,
ohsa01,Silver Slugger,1964,AL,,1B,
shigesh02,Silver Slugger,1964,AL,,OF,
spencda01,Silver Slugger,1964,NL,,2B,
stankjo01,Silver Slugger,1964,NL,,P,
takagmo01,Silver Slugger,1964,AL,,2B,
takakte01,Silver Slugger,1964,NL,,OF,
yoshiyo03,Silver Slugger,1964,AL,,SS,
muraymi01,Cy Young Award,1965,AL,,,
nomurka03,MVP,1965,NL,,,
ohsa01,MVP,1965,AL,,,
ikenama01,Rookie of the Year,1965,NL,,,
etosh02,Silver Slugger,1965,AL,,OF,
harimis01,Silver Slugger,1965,NL,,OF,
hirosyo02,Silver Slugger,1965,NL,,OF,
horigmo01,Silver Slugger,1965,NL,,OF,
kodamak01,Silver Slugger,1965,NL,,3B,
koikeke01,Silver Slugger,1965,NL,,SS,
kondoka02,Silver Slugger,1965,AL,,OF,
morima01,Silver Slugger,1965,AL,,C,
muraymi01,Silver Slugger,1965,AL,,P,
nagassh02,Silver Slugger,1965,AL,,3B,
nakato01,Silver Slugger,1965,AL,,OF,
nomurka03,Silver Slugger,1965,NL,,C,
ohsa01,Silver Slugger,1965,AL,,1B,
ozakiyu01,Silver Slugger,1965,NL,,P,
spencda01,Silver Slugger,1965,NL,,2B,
takagmo01,Silver Slugger,1965,AL,,2B,
takagta03,Silver Slugger,1965,NL,,1B,
yoshiyo03,Silver Slugger,1965,AL,,SS,
horiuts01,Cy Young Award,1966,AL,,,
muraymi01,Cy Young Award,1966,AL,,,
nagassh02,MVP,1966,AL,,,
nomurka03,MVP,1966,NL,,,
horiuts01,Rookie of the Year,1966,AL,,,
busujsh01,Silver Slugger,1966,NL,,OF,
enomoki01,Silver Slugger,1966,NL,,1B,
etosh02,Silver Slugger,1966,AL,,OF,
harimis01,Silver Slugger,1966,NL,,OF,
ichiesh01,Silver Slugger,1966,AL,,SS,
koikeke01,Silver Slugger,1966,NL,,SS,
kunisya01,Silver Slugger,1966,NL,,3B,
morima01,Silver Slugger,1966,AL,,C,
muraymi01,Silver Slugger,1966,AL,,P,
nagassh02,Silver Slugger,1966,AL,,3B,
nakato01,Silver Slugger,1966,AL,,OF,
nomurka03,Silver Slugger,1966,NL,,C,
ohsa01,Silver Slugger,1966,AL,,1B,
roigto01,Silver Slugger,1966,NL,,3B,
takagmo01,Silver Slugger,1966,AL,,2B,
takakte01,Silver Slugger,1966,NL,,OF,
tanakts01,Silver Slugger,1966,NL,,P,
yamamka08,Silver Slugger,1966,AL,,OF,
ogawake01,Cy Young Award,1967,AL,,,
adachmi01,MVP,1967,NL,,,
ohsa01,MVP,1967,AL,,,
takahyo03,Rookie of the Year,1967,NL,,,
takegsh01,Rookie of the Year,1967,AL,,,
adachmi01,Silver Slugger,1967,NL,,P,
blasido01,Silver Slugger,1967,NL,,2B,
doima03,Silver Slugger,1967,NL,,OF,
fujitta03,Silver Slugger,1967,AL,,SS,
harimis01,Silver Slugger,1967,NL,,OF,
kondoka02,Silver Slugger,1967,AL,,OF,
morima01,Silver Slugger,1967,AL,,C,
morimki01,Silver Slugger,1967,NL,,3B,
nagaito02,Silver Slugger,1967,NL,,OF,
nagassh02,Silver Slugger,1967,AL,,3B,
nakato01,Silver Slugger,1967,AL,,OF,
nomurka03,Silver Slugger,1967,NL,,C,
ogawake01,Silver Slugger,1967,AL,,P,
ohsa01,Silver Slugger,1967,AL,,1B,
oshitts01,Silver Slugger,1967,NL,,SS,
osugika01,Silver Slugger,1967,NL,,1B,
shibais01,Silver Slugger,1967,AL,,OF,
takagmo01,Silver Slugger,1967,AL,,2B,
enatsyu01,Cy Young Award,1968,AL,,,
nagassh02,MVP,1968,AL,,,
yonedte01,MVP,1968,NL,,,
takadsh01,Rookie of the Year,1968,AL,,,
altmage01,Silver Slugger,1968,NL,,OF,
blasido01,Silver Slugger,1968,NL,,2B,
doima03,Silver Slugger,1968,NL,,OF,
doish01,Silver Slugger,1968,AL,,2B,
enatsyu01,Silver Slugger,1968,AL,,P,
enomoki01,Silver Slugger,1968,NL,,1B,
etosh02,Silver Slugger,1968,AL,,OF,
harimis01,Silver Slugger,1968,NL,,OF,
kunisya01,Silver Slugger,1968,NL,,3B,
kuroeyu01,Silver Slugger,1968,AL,,SS,
minagmu01,Silver Slugger,1968,NL,,P,
morima01,Silver Slugger,1968,AL,,C,
nagassh02,Silver Slugger,1968,AL,,3B,
nomurka03,Silver Slugger,1968,NL,,C,
ohsa01,Silver Slugger,1968,AL,,1B,
roberda01,Silver Slugger,1968,AL,,OF,
sakamto01,Silver Slugger,1968,NL,,SS,
yamauka02,Silver Slugger,1968,AL,,OF,
takahka05,Cy Young Award,1969,AL,,,
nagaito02,MVP,1969,NL,,,
ohsa01,MVP,1969,AL,,,
aritomi01,Rookie of the Year,1969,NL,,,
tabucko01,Rookie of the Year,1969,AL,,,
aritomi01,Silver Slugger,1969,NL,,3B,
doish01,Silver Slugger,1969,AL,,2B,
fujitta03,Silver Slugger,1969,AL,,SS,
harimis01,Silver Slugger,1969,NL,,OF,
kimatta01,Silver Slugger,1969,AL,,C,
nagabyo01,Silver Slugger,1969,NL,,OF,
nagaito02,Silver Slugger,1969,NL,,OF,
nagassh02,Silver Slugger,1969,AL,,3B,
ohsa01,Silver Slugger,1969,AL,,1B,
okamuko01,Silver Slugger,1969,NL,,C,
osugika01,Silver Slugger,1969,NL,,1B,
roberda01,Silver Slugger,1969,AL,,OF,
sakamto01,Silver Slugger,1969,NL,,SS,
suzukke05,Silver Slugger,1969,NL,,P,
takadsh01,Silver Slugger,1969,AL,,OF,
takahka05,Silver Slugger,1969,AL,,P,
yamamka08,Silver Slugger,1969,AL,,OF,
yamazhi01,Silver Slugger,1969,NL,,2B,
hiramma02,Cy Young Award,1970,AL,,,
kitarma01,MVP,1970,NL,,,
ohsa01,MVP,1970,AL,,,
satomi02,Rookie of the Year,1970,NL,,,
yazawke01,Rookie of the Year,1970,AL,,,
altmage01,Silver Slugger,1970,NL,,OF,
andomo02,Silver Slugger,1970,AL,,2B,
aritomi01,Silver Slugger,1970,NL,,3B,
ejiriak01,Silver Slugger,1970,AL,,OF,
fujitta03,Silver Slugger,1970,AL,,SS,
harimis01,Silver Slugger,1970,NL,,OF,
hiramma02,Silver Slugger,1970,AL,,P,
kimatta01,Silver Slugger,1970,AL,,C,
kitarma01,Silver Slugger,1970,NL,,P,
nagaito02,Silver Slugger,1970,NL,,OF,
nagassh02,Silver Slugger,1970,AL,,3B,
nakato01,Silver Slugger,1970,AL,,OF,
nomurka03,Silver Slugger,1970,NL,,C,
ohsa01,Silver Slugger,1970,AL,,1B,
osugika01,Silver Slugger,1970,NL,,1B,
sakamto01,Silver Slugger,1970,NL,,SS,
takadsh01,Silver Slugger,1970,AL,,OF,
yamazhi01,Silver Slugger,1970,NL,,2B,
nagaito02,MVP,1971,NL,,,
nagassh02,MVP,1971,AL,,,
minagya01,Rookie of the Year,1971,NL,,,
sekimmi01,Rookie of the Year,1971,AL,,,
altmage01,Silver Slugger,1971,NL,,OF,
aritomi01,Silver Slugger,1971,NL,,3B,
fujitta03,Silver Slugger,1971,AL,,SS,
hiramma02,Silver Slugger,1971,AL,,P,
kadothi01,Silver Slugger,1971,NL,,OF,
kimatta01,Silver Slugger,1971,AL,,C,
kunisya01,Silver Slugger,1971,AL,,2B,
mizutji01,Silver Slugger,1971,AL,,OF,
nagaito02,Silver Slugger,1971,NL,,OF,
nagassh02,Silver Slugger,1971,AL,,3B,
nomurka03,Silver Slugger,1971,NL,,C,
ohsa01,Silver Slugger,1971,AL,,1B,
osugika01,Silver Slugger,1971,NL,,1B,
sakamto01,Silver Slugger,1971,NL,,SS,
shibais01,Silver Slugger,1971,AL,,OF,
takadsh01,Silver Slugger,1971,AL,,OF,
yamadhi03,Silver Slugger,1971,NL,,P,
yamazhi01,Silver Slugger,1971,NL,,2B,
horiuts01,Cy Young Award,1972,AL,,,
fukumyu02,MVP,1972,NL,,,
horiuts01,MVP,1972,AL,,,
katoha01,Rookie of the Year,1972,NL,,,
yasudta02,Rookie of the Year,1972,AL,,,
aritomi01,Silver Slugger,1972,NL,,3B,
fukumyu02,Silver Slugger,1972,NL,,OF,
harimis01,Silver Slugger,1972,NL,,OF,
horiuts01,Silver Slugger,1972,AL,,P,
mimurto01,Silver Slugger,1972,AL,,SS,
motoimi01,Silver Slugger,1972,NL,,2B,
nagaito02,Silver Slugger,1972,NL,,OF,
nagassh02,Silver Slugger,1972,AL,,3B,
nomurka03,Silver Slugger,1972,NL,,C,
ohashyu01,Silver Slugger,1972,NL,,SS,
ohsa01,Silver Slugger,1972,AL,,1B,
osugika01,Silver Slugger,1972,NL,,1B,
shibais01,Silver Slugger,1972,AL,,OF,
sipinjo01,Silver Slugger,1972,AL,,2B,
tabucko01,Silver Slugger,1972,AL,,C,
takadsh01,Silver Slugger,1972,AL,,OF,
wakamts01,Silver Slugger,1972,AL,,OF,
yamadhi03,Silver Slugger,1972,NL,,P,
takahka05,Cy Young Award,1973,AL,,,
nomurka03,MVP,1973,NL,,,
ohsa01,MVP,1973,AL,,,
niimisa01,Rookie of the Year,1973,NL,,,
aritomi01,Silver Slugger,1973,NL,,3B,
ejiriak01,Silver Slugger,1973,AL,,OF,
fujitta03,Silver Slugger,1973,AL,,SS,
fukumyu02,Silver Slugger,1973,NL,,OF,
